City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Gaoual,GN,2021-08-15 01:47:35,11.75,-13.2,72.93,99,100,0.56
211,Road Town,VG,2021-08-15 01:45:27,18.4167,-64.6167,84.29,84,64,21.18
212,Khandyga,RU,2021-08-15 01:47:35,62.6667,135.6,79.5,43,63,6.26
213,Taltal,CL,2021-08-15 01:47:36,-25.4,-70.4833,57.15,72,46,2.28
214,Boyolangu,ID,2021-08-15 01:47:36,-8.1181,111.8935,81.5,71,27,5.73
215,Pacific Grove,US,2021-08-15 01:47:36,36.6177,-121.9166,80.26,86,75,4.0
216,Guisa,CU,2021-08-15 01:47:37,20.255,-76.5386,80.91,92,94,1.45
217,Porto Walter,BR,2021-08-15 01:47:37,-8.2686,-72.7439,77.09,49,100,1.3
218,Ontario,US,2021-08-15 01:45:15,34.0633,-117.6509,100.74,44,75,1.99
219,Quelimane,MZ,2021-08-15 01:47:38,-17.8786,36.8883,66.15,94,40,9.22
220,Naryan-Mar,RU,2021-08-15 01:47:38,67.6713,53.087,50.0,91,100,20.27
221,Talnakh,RU,2021-08-15 01:47:39,69.4865,88.3972,57.31,72,100,13.18
222,Margate,GB,2021-08-15 01:47:39,51.3813,1.3862,62.69,80,99,1.99
223,Broken Hill,AU,2021-08-15 01:47:39,-31.95,141.4333,62.31,31,6,6.91
224,Katsuura,JP,2021-08-15 01:47:40,35.1333,140.3,68.11,94,100,8.84
225,Puerto Narino,CO,2021-08-15 01:47:40,-3.7703,-70.3831,76.95,77,100,3.56
226,Rio Gallegos,AR,2021-08-15 01:47:41,-51.6226,-69.2181,44.65,76,0,2.3
227,Paulista,BR,2021-08-15 01:47:41,-7.9408,-34.8731,71.46,88,15,9.17
228,Belle Fourche,US,2021-08-15 01:47:42,44.6714,-103.8522,88.45,32,2,9.8
229,Saint Anthony,US,2021-08-15 01:47:42,45.0205,-93.218,80.38,47,1,1.01
230,Mangan,IN,2021-08-15 01:47:42,27.5167,88.5333,76.32,95,100,0.58
231,Pangkalanbuun,ID,2021-08-15 01:47:43,-2.6833,111.6167,81.03,82,76,5.77
232,Port Hedland,AU,2021-08-15 01:47:43,-20.3167,118.5667,87.85,15,67,9.22
233,Abonnema,NG,2021-08-15 01:47:44,4.7084,6.7931,76.86,85,100,6.38
234,Nhulunbuy,AU,2021-08-15 01:47:44,-12.2333,136.7667,83.01,65,6,18.41
235,Adre,TD,2021-08-15 01:47:45,13.4667,22.2,69.48,84,100,4.81
236,Strezhevoy,RU,2021-08-15 01:43:30,60.7333,77.5889,58.98,74,0,9.8
237,Qasigiannguit,GL,2021-08-15 01:47:45,68.8193,-51.1922,46.65,98,98,0.34
238,Tautira,PF,2021-08-15 01:47:46,-17.7333,-149.15,84.22,74,0,6.53
239,Riyadh,SA,2021-08-15 01:45:24,24.6877,46.7219,87.94,18,59,1.32
240,Pevek,RU,2021-08-15 01:47:46,69.7008,170.3133,36.09,96,100,14.25
241,Victoria,HK,2021-08-15 01:43:17,22.2855,114.1577,82.96,87,100,1.01
242,Evensk,RU,2021-08-15 01:47:47,61.95,159.2333,50.72,95,100,7.2
243,Ixtapa,MX,2021-08-15 01:47:47,20.7,-105.2,81.63,89,75,8.05
244,Lompoc,US,2021-08-15 01:47:48,34.6391,-120.4579,79.57,80,1,13.8
245,Aloleng,PH,2021-08-15 01:47:48,16.1307,119.7824,84.61,69,44,1.81
246,College,US,2021-08-15 01:46:24,64.8569,-147.8028,55.99,57,75,11.5
247,Hit,IQ,2021-08-15 01:47:48,33.6416,42.8251,87.04,27,0,12.15
248,Orchard Homes,US,2021-08-15 01:47:49,46.8633,-114.0484,87.94,27,90,1.99
249,Nantucket,US,2021-08-15 01:47:49,41.2835,-70.0995,79.12,93,1,9.22
250,Krasnovishersk,RU,2021-08-15 01:47:50,60.4078,57.082,54.43,94,7,3.04
251,Tura,IN,2021-08-15 01:47:50,25.5198,90.2201,76.75,95,100,3.89
252,Jalapa,MX,2021-08-15 01:44:30,19.5333,-96.9167,63.37,97,84,2.77
253,Kharp,RU,2021-08-15 01:47:51,66.8014,65.8081,54.45,90,100,13.82
254,Ahuimanu,US,2021-08-15 01:47:51,21.4447,-157.8378,83.91,65,90,14.97
255,Aleksandrovka,UA,2021-08-15 01:47:52,46.8383,32.7612,59.11,55,20,8.59
256,Shimoda,JP,2021-08-15 01:47:52,34.6667,138.95,80.71,94,100,8.19
257,Chunoyar,RU,2021-08-15 01:47:52,57.4467,97.3217,58.48,97,100,5.95
258,Inta,RU,2021-08-15 01:47:53,66.0317,60.1659,51.75,92,100,26.91
259,Bom Jesus,BR,2021-08-15 01:47:53,-9.0744,-44.3586,70.14,33,5,2.24
260,Cassilandia,BR,2021-08-15 01:47:54,-19.1133,-51.7342,72.63,33,0,3.56
261,Shancheng,CN,2021-08-15 01:47:54,34.7953,116.0817,77.79,75,0,6.69
262,Luderitz,NA,2021-08-15 01:47:54,-26.6481,15.1594,60.19,42,0,4.68
263,Atar,MR,2021-08-15 01:47:55,20.5169,-13.0499,92.19,26,81,2.04
264,Alepe,CI,2021-08-15 01:47:55,5.5004,-3.6631,75.07,88,5,3.13
265,Constitucion,CL,2021-08-15 01:45:56,-35.3333,-72.4167,46.83,87,94,2.77
266,Sechura,PE,2021-08-15 01:47:56,-5.5569,-80.8222,64.92,81,28,14.43
267,Half Moon Bay,US,2021-08-15 01:46:24,37.4636,-122.4286,84.74,75,40,12.66
268,Shellbrook,CA,2021-08-15 01:47:56,53.2168,-106.4011,85.23,20,75,7.0
269,Duobao,CN,2021-08-15 01:47:57,30.67,112.6895,71.01,93,100,3.27
270,Neiafu,TO,2021-08-15 01:47:57,-18.65,-173.9833,75.88,57,40,8.05
271,Awbari,LY,2021-08-15 01:47:57,26.5921,12.7805,79.38,33,0,12.44
272,Vrangel,RU,2021-08-15 01:47:58,42.7297,133.0839,66.96,66,6,5.88
273,Sundumbili,ZA,2021-08-15 01:47:58,-29.1337,31.3975,55.71,77,98,8.52
274,Leh,IN,2021-08-15 01:47:58,34.1667,77.5833,54.95,50,97,6.82
275,Beloha,MG,2021-08-15 01:47:59,-25.1667,45.05,59.47,71,83,12.75
