City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Sharjah,AE,25.3573,55.4033,95.25,52,0,10.36,dust
115,Avarua,CK,-21.2078,-159.775,75.25,60,90,14.97,overcast clouds
116,San Pedro,PH,14.35,121.0167,89.1,70,96,1.88,overcast clouds
117,Ust-Koksa,RU,50.2696,85.6108,68.05,56,6,1.81,clear sky
118,Tamboril,DO,19.4854,-70.611,76.69,94,40,4.61,scattered clouds
119,Bubaque,GW,11.2833,-15.8333,78.24,86,100,23.8,moderate rain
120,Vaini,TO,-21.2,-175.2,73.56,100,75,10.36,light rain
121,Falmouth,GB,50.1544,-5.0711,61.38,100,90,1.01,overcast clouds
122,Acarau,BR,-2.8856,-40.12,77.25,82,10,18.72,clear sky
123,Maxixe,MZ,-23.8597,35.3472,65.34,92,1,10.02,clear sky
124,Alofi,NU,-19.0595,-169.9187,76.89,73,25,11.5,scattered clouds
125,Mount Pleasant,US,32.7941,-79.8626,84.0,94,90,3.0,overcast clouds
126,Marsh Harbour,BS,26.5412,-77.0636,82.62,75,8,7.92,clear sky
127,Cuiluan,CN,47.72,128.648,85.06,39,89,7.81,overcast clouds
128,Atambua,ID,-9.1061,124.8925,84.79,46,6,3.06,clear sky
129,Miles City,US,46.4083,-105.8406,58.17,77,90,11.5,overcast clouds
130,Henties Bay,NA,-22.116,14.2845,49.86,88,0,8.75,clear sky
131,Leningradskiy,RU,69.3833,178.4167,48.49,61,49,8.46,scattered clouds
132,Dikson,RU,73.5069,80.5464,40.24,86,100,7.14,overcast clouds
133,Asau,RO,46.4333,26.4,56.95,92,54,3.51,broken clouds
134,Bull Savanna,JM,17.8868,-77.5902,76.62,85,100,11.23,overcast clouds
135,Souillac,MU,-20.5167,57.5167,73.36,73,75,12.66,broken clouds
136,Bengkulu,ID,-3.8004,102.2655,76.08,88,100,8.52,overcast clouds
137,Nuevo Progreso,MX,23.1667,-97.95,83.59,74,6,5.35,clear sky
138,Gizo,SB,-8.103,156.8419,83.34,72,54,6.67,broken clouds
