City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
156,Labuan,MY,84.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
159,Yingkou,CN,82.62,light rain,40.6648,122.2283,Yingkou Juyin Junyue Hotel
160,Nhulunbuy,AU,83.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
176,Sola,VU,79.95,clear sky,-13.8833,167.55,Leumerus Bungalows
178,Sao Filipe,CV,77.94,overcast clouds,14.8961,-24.4956,Hotel Xaguate
181,Petropavlovsk-Kamchatskiy,RU,79.39,scattered clouds,53.0452,158.6483,The Hotel Petropavlovsky
182,Butaritari,KI,82.85,light rain,3.0707,172.7902,Isles Sunset Lodge
191,Mogadishu,SO,76.24,overcast clouds,2.0371,45.3438,Hotel Juba
196,Thomaston,US,80.1,scattered clouds,32.8882,-84.3266,Days Inn by Wyndham Thomaston
198,Acapulco,MX,80.62,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
199,Kavaratti,IN,81.25,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
206,Sioux Lookout,CA,79.18,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
207,Marawi,PH,76.64,scattered clouds,7.9986,124.2928,Derogongan Residence
208,Soure,BR,79.11,clear sky,-0.7167,-48.5233,Casarão da Amazônia
213,Fare,PF,77.13,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
214,Vaitape,PF,77.43,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
216,Pasni,PK,79.57,broken clouds,25.2631,63.471,Kashmiri Hotal
217,Gat,IL,75.4,clear sky,31.61,34.7642,OlusHome
218,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
222,Cayenne,GF,80.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
234,Terdal,IN,76.24,overcast clouds,16.5,75.05,Naikwadi mansion
235,Kapaa,US,82.72,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
